"full_path","source_root","relative_path","name","extension","size_bytes","size_mb","modified_time","sheet_count","approx_rows","approx_columns","encoding","possible_source","probable_content","key_variables_identified","thematic_category","potential_utility","status","compressed_entry_count","compressed_entry_extensions","observations"
"${DATA_PART_I}\10_CEPII Gravity\PanelData_CEPII_country-year.R","${DATA_PART_I}","10_CEPII Gravity\PanelData_CEPII_country-year.R","PanelData_CEPII_country-year.R",".r","8810","0.008","2026-06-11T18:41:22",,,,"","BACI/CEPII candidate","Content inferred from file name and sampled fields only.","paneldata_cepii_country; year","other","documentation, code, or existing output; not primary analytical data","possibly useful","","",""
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\baci_hs02_panel_country_year_2002_2022.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\baci_hs02_panel_country_year_2002_2022.csv","baci_hs02_panel_country_year_2002_2022.csv",".csv","577474","0.551","2026-06-11T18:55:48",,"5304","14","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_panel_country_year_2002_2022; iso3c; country_name; country_code_baci; year; exports_value; imports_value; trade_total; trade_balance; exports_quantity; imports_quantity; n_export_destinations; n_import_origins; n_export_products; n_import_products","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2002_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2002_V202601.csv","BACI_HS02_Y2002_V202601.csv",".csv","214613917","204.672","2026-06-11T18:01:25",,"7361634","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2002_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2003_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2003_V202601.csv","BACI_HS02_Y2003_V202601.csv",".csv","236755661","225.788","2026-06-11T18:01:31",,"8048882","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2003_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2004_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2004_V202601.csv","BACI_HS02_Y2004_V202601.csv",".csv","258955406","246.959","2026-06-11T18:01:36",,"8795695","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2004_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2005_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2005_V202601.csv","BACI_HS02_Y2005_V202601.csv",".csv","275914000","263.132","2026-06-11T18:01:42",,"9388552","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2005_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2006_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2006_V202601.csv","BACI_HS02_Y2006_V202601.csv",".csv","291071474","277.587","2026-06-11T18:01:48",,"9895434","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2006_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2007_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2007_V202601.csv","BACI_HS02_Y2007_V202601.csv",".csv","298592148","284.76","2026-06-11T18:01:56",,"10224010","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2007_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2008_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2008_V202601.csv","BACI_HS02_Y2008_V202601.csv",".csv","307656778","293.404","2026-06-11T18:02:01",,"10553167","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2008_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2009_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2009_V202601.csv","BACI_HS02_Y2009_V202601.csv",".csv","303465973","289.408","2026-06-11T18:02:06",,"10372371","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2009_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2010_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2010_V202601.csv","BACI_HS02_Y2010_V202601.csv",".csv","314496922","299.928","2026-06-11T18:02:11",,"10701417","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2010_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2011_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2011_V202601.csv","BACI_HS02_Y2011_V202601.csv",".csv","321456536","306.565","2026-06-11T18:02:19",,"10948043","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2011_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2012_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2012_V202601.csv","BACI_HS02_Y2012_V202601.csv",".csv","331543211","316.184","2026-06-11T18:02:26",,"11352278","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2012_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2013_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2013_V202601.csv","BACI_HS02_Y2013_V202601.csv",".csv","337683898","322.04","2026-06-11T18:02:32",,"11665593","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2013_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2014_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2014_V202601.csv","BACI_HS02_Y2014_V202601.csv",".csv","339352374","323.632","2026-06-11T18:02:36",,"11598957","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2014_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2015_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2015_V202601.csv","BACI_HS02_Y2015_V202601.csv",".csv","350462708","334.227","2026-06-11T18:02:40",,"12139134","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2015_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2016_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2016_V202601.csv","BACI_HS02_Y2016_V202601.csv",".csv","352716070","336.376","2026-06-11T18:02:44",,"12260241","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2016_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2017_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2017_V202601.csv","BACI_HS02_Y2017_V202601.csv",".csv","362133381","345.357","2026-06-11T18:02:48",,"12664942","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2017_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2018_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2018_V202601.csv","BACI_HS02_Y2018_V202601.csv",".csv","365872835","348.924","2026-06-11T18:02:53",,"12605908","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2018_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2019_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2019_V202601.csv","BACI_HS02_Y2019_V202601.csv",".csv","368831103","351.745","2026-06-11T18:02:57",,"12741601","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2019_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2020_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2020_V202601.csv","BACI_HS02_Y2020_V202601.csv",".csv","356049948","339.556","2026-06-11T18:03:01",,"12354393","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2020_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2021_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2021_V202601.csv","BACI_HS02_Y2021_V202601.csv",".csv","373188515","355.9","2026-06-11T18:03:05",,"13028797","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2021_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2022_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2022_V202601.csv","BACI_HS02_Y2022_V202601.csv",".csv","373480814","356.179","2026-06-11T18:03:09",,"12959218","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2022_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2023_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2023_V202601.csv","BACI_HS02_Y2023_V202601.csv",".csv","374222540","356.886","2026-06-11T18:03:12",,"13087738","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2023_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2024_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\BACI_HS02_Y2024_V202601.csv","BACI_HS02_Y2024_V202601.csv",".csv","354067006","337.665","2026-06-11T18:03:17",,"12339615","6","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; baci_hs02_y2024_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\country_codes_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\country_codes_V202601.csv","country_codes_V202601.csv",".csv","5346","0.005","2026-06-11T18:03:17",,"238","4","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; country_codes_v202601; country_code; country_name; country_iso2; country_iso3","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\product_codes_HS02_V202601.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\product_codes_HS02_V202601.csv","product_codes_HS02_V202601.csv",".csv","564697","0.539","2026-06-11T18:03:17",,"4979","2","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; product_codes_hs02_v202601; description","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\Readme.txt","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\Readme.txt","Readme.txt",".txt","571","0.001","2026-06-11T18:03:17",,"24","1","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_countries_final_wb_iso3c.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_countries_final_wb_iso3c.csv","baci_hs02_countries_final_wb_iso3c.csv",".csv","3294","0.003","2026-06-16T16:39:14",,"208","2","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; baci_hs02_countries_final_wb_iso3c; country; iso3c","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_country_year.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_country_year.csv","baci_hs02_country_year.csv",".csv","778921","0.743","2026-06-16T16:39:13",,"4753","17","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; baci_hs02_country_year; country; iso3c; year; exports_value; imports_value; trade_total; trade_balance; exports_quantity; imports_quantity; n_export_destinations; n_import_origins; n_export_products; n_import_products; country_code_baci; country_name_baci","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_dictionary_indicators.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_dictionary_indicators.csv","baci_hs02_dictionary_indicators.csv",".csv","679","0.001","2026-06-16T16:39:13",,"10","3","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; baci_hs02_dictionary_indicators; indicator","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_long_country_year_indicator.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\baci_hs02_long_country_year_indicator.csv","baci_hs02_long_country_year_indicator.csv",".csv","4322970","4.123","2026-06-16T16:39:13",,"49208","9","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; baci_hs02_long_country_year_indicator; country; iso3c; year; country_code_baci; country_name_baci; indicator; value","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_01_paises_originales_reconocidos_wb.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_01_paises_originales_reconocidos_wb.csv","QC_01_paises_originales_reconocidos_wb.csv",".csv","8432","0.008","2026-06-16T16:39:14",,"238","5","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; country_code_baci; iso3c_original; country_name_baci; country_wb","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_02_paises_validos_baci_wb.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_02_paises_validos_baci_wb.csv","QC_02_paises_validos_baci_wb.csv",".csv","7462","0.007","2026-06-16T16:39:14",,"211","5","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; country_code_baci; iso3c_original; country_name_baci; country_wb","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_03_paises_no_validos_o_agregados.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_03_paises_no_validos_o_agregados.csv","QC_03_paises_no_validos_o_agregados.csv",".csv","1046","0.001","2026-06-16T16:39:14",,"27","5","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; country_code_baci; iso3c_original; country_name_baci; country_wb","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_04_anios_finales.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_04_anios_finales.csv","QC_04_anios_finales.csv",".csv","120","0","2026-06-16T16:39:14",,"23","1","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; year","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_I}\10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_05_anios_sospechosos.csv","${DATA_PART_I}","10_CEPII Gravity\BACI_HS02_V202601\output_country_year\quality_control\QC_05_anios_sospechosos.csv","QC_05_anios_sospechosos.csv",".csv","253","0","2026-06-16T16:39:14",,,"17","unknown or UTF-8 without BOM","BACI/CEPII candidate","Likely code dictionary, classifier, metadata, or concordance.","baci_hs02_v202601; output_country_year; country; iso3c; year; exports_value; imports_value; trade_total; trade_balance; exports_quantity; imports_quantity; n_export_destinations; n_import_origins; n_export_products; n_import_products; country_code_baci; country_name_baci","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Could not estimate rows from sample. Delimiter: ,."
